,type_of_company,company_name,company_url
118,Auto Ancillaries companies,Auto Pins (I),https://www.screener.in/company/531994
119,Auto Ancillaries companies,Rasandik Engg.,https://www.screener.in/company/522207
120,Auto Ancillaries companies,SM Auto Stamping,https://www.screener.in/company/543065
121,Auto Ancillaries companies,Containe Tech.,https://www.screener.in/company/543606
122,Auto Ancillaries companies,Ultra Wiring,https://www.screener.in/company/UWCSL
123,Auto Ancillaries companies,Sizemasters Tech,https://www.screener.in/company/513496
124,Auto Ancillaries companies,Precision Metal.,https://www.screener.in/company/PRECISION
125,Auto Ancillaries companies,Jagan Lamps,https://www.screener.in/company/530711
126,Auto Ancillaries companies,ASL Industries,https://www.screener.in/company/ASLIND
127,Auto Ancillaries companies,G S Auto Intl.,https://www.screener.in/company/513059
128,Auto Ancillaries companies,Jainex Aamcol,https://www.screener.in/company/505212
129,Auto Ancillaries companies,Sibar Auto Parts,https://www.screener.in/company/520141
130,Auto Ancillaries companies,PAE,https://www.screener.in/company/517230
131,Auto Ancillaries companies,Spectra Industri,https://www.screener.in/company/513687
132,Auto Ancillaries companies,India Radiators,https://www.screener.in/company/505100
133,Automobile companies,Maruti Suzuki,https://www.screener.in/company/MARUTI
134,Automobile companies,Tata Motors,https://www.screener.in/company/TATAMOTORS
135,Automobile companies,M & M,https://www.screener.in/company/M&M
136,Automobile companies,Bajaj Auto,https://www.screener.in/company/BAJAJ-AUTO
137,Automobile companies,Eicher Motors,https://www.screener.in/company/EICHERMOT
138,Automobile companies,TVS Motor Co.,https://www.screener.in/company/TVSMOTOR
139,Automobile companies,Hero Motocorp,https://www.screener.in/company/HEROMOTOCO
140,Automobile companies,Ashok Leyland,https://www.screener.in/company/ASHOKLEY
141,Automobile companies,Escorts Kubota,https://www.screener.in/company/ESCORTS
142,Automobile companies,Tata Motors-DVR,https://www.screener.in/company/TATAMTRDVR
143,Automobile companies,Olectra Greentec,https://www.screener.in/company/OLECTRA
144,Automobile companies,Force Motors,https://www.screener.in/company/FORCEMOT
145,Automobile companies,VST Till. Tract.,https://www.screener.in/company/VSTTILLERS
146,Automobile companies,Mercury EV-Tech,https://www.screener.in/company/531357
147,Automobile companies,SML ISUZU,https://www.screener.in/company/SMLISUZU
148,Automobile companies,Atul Auto,https://www.screener.in/company/ATULAUTO
149,Automobile companies,Wardwizard Inno.,https://www.screener.in/company/538970
150,Automobile companies,Scooters India,https://www.screener.in/company/505141
151,Automobile companies,Hindustan Motors,https://www.screener.in/company/HINDMOTORS
152,Banks companies,HDFC Bank,https://www.screener.in/company/HDFCBANK
153,Banks companies,ICICI Bank,https://www.screener.in/company/ICICIBANK
154,Banks companies,St Bk of India,https://www.screener.in/company/SBIN
155,Banks companies,Kotak Mah. Bank,https://www.screener.in/company/KOTAKBANK
156,Banks companies,Axis Bank,https://www.screener.in/company/AXISBANK
157,Banks companies,IndusInd Bank,https://www.screener.in/company/INDUSINDBK
158,Banks companies,Bank of Baroda,https://www.screener.in/company/BANKBARODA
159,Banks companies,Punjab Natl.Bank,https://www.screener.in/company/PNB
160,Banks companies,Union Bank (I),https://www.screener.in/company/UNIONBANK
161,Banks companies,I O B,https://www.screener.in/company/IOB
162,Banks companies,Canara Bank,https://www.screener.in/company/CANBK
163,Banks companies,IDBI Bank,https://www.screener.in/company/IDBI
164,Banks companies,IDFC First Bank,https://www.screener.in/company/IDFCFIRSTB
165,Banks companies,Yes Bank,https://www.screener.in/company/YESBANK
166,Banks companies,Indian Bank,https://www.screener.in/company/INDIANB
167,Banks companies,AU Small Finance,https://www.screener.in/company/AUBANK
168,Banks companies,Bank of India,https://www.screener.in/company/BANKINDIA
169,Banks companies,UCO Bank,https://www.screener.in/company/UCOBANK
170,Banks companies,Central Bank,https://www.screener.in/company/CENTRALBK
171,Banks companies,Bandhan Bank,https://www.screener.in/company/BANDHANBNK
172,Banks companies,Federal Bank,https://www.screener.in/company/FEDERALBNK
173,Banks companies,Bank of Maha,https://www.screener.in/company/MAHABANK
174,Banks companies,Pun. & Sind Bank,https://www.screener.in/company/PSB
175,Banks companies,RBL Bank,https://www.screener.in/company/RBLBANK
176,Banks companies,Karur Vysya Bank,https://www.screener.in/company/KARURVYSYA
177,Banks companies,J & K Bank,https://www.screener.in/company/J&KBANK
178,Banks companies,Equitas Sma. Fin,https://www.screener.in/company/EQUITASBNK
179,Banks companies,Ujjivan Small,https://www.screener.in/company/UJJIVANSFB
180,Banks companies,City Union Bank,https://www.screener.in/company/CUB
181,Banks companies,Karnataka Bank,https://www.screener.in/company/KTKBANK
182,Banks companies,T N Merc. Bank,https://www.screener.in/company/TMB
183,Banks companies,CSB Bank,https://www.screener.in/company/CSBBANK
184,Banks companies,Utkarsh Small F.,https://www.screener.in/company/UTKARSHBNK
185,Banks companies,South Ind.Bank,https://www.screener.in/company/SOUTHBANK
186,Banks companies,DCB Bank,https://www.screener.in/company/DCBBANK
187,Banks companies,ESAF Small Fin,https://www.screener.in/company/ESAFSFB
188,Banks companies,Fino Payments,https://www.screener.in/company/FINOPB
